config,query,precision_at_4,mrr,retrieved_1,retrieved_2,retrieved_3,retrieved_4
full_weighted,dublin_rent,0.5000,1.0000,prop-10,prop-01,prop-08,prop-04
full_weighted,bond_analysis,0.5000,1.0000,fin-05,fin-10,fin-08,fin-09
full_weighted,contract_law,0.7500,1.0000,leg-08,leg-01,leg-04,leg-10
full_weighted,deployment_troubleshoot,0.2500,1.0000,ops-01,ops-09,ops-06,ops-03
full_weighted,crypto_regulation,0.5000,1.0000,fin-10,fin-06,fin-09,fin-04
full_weighted,ip_law,0.7500,1.0000,leg-10,leg-03,leg-06,leg-08
field_only,dublin_rent,0.7500,1.0000,prop-01,prop-02,prop-10,prop-04
field_only,bond_analysis,0.2500,1.0000,fin-05,fin-01,fin-10,fin-03
field_only,contract_law,0.7500,1.0000,leg-01,leg-04,leg-08,leg-10
field_only,deployment_troubleshoot,0.2500,1.0000,ops-01,ops-06,ops-03,ops-09
field_only,crypto_regulation,0.2500,1.0000,fin-06,fin-02,fin-04,fin-09
field_only,ip_law,0.7500,1.0000,leg-10,leg-03,leg-06,leg-01
index_only,dublin_rent,0.7500,1.0000,prop-01,prop-04,prop-10,prop-02
index_only,bond_analysis,0.5000,1.0000,fin-02,fin-05,prop-05,fin-10
index_only,contract_law,0.7500,1.0000,leg-01,leg-04,leg-08,leg-06
index_only,deployment_troubleshoot,0.7500,1.0000,ops-01,ops-04,ops-03,ops-08
index_only,crypto_regulation,0.5000,1.0000,fin-10,fin-06,fin-04,fin-09
index_only,ip_law,0.7500,1.0000,leg-10,leg-03,leg-06,leg-08
field_index_domain,dublin_rent,0.7500,1.0000,prop-01,prop-02,prop-10,prop-04
field_index_domain,bond_analysis,0.5000,1.0000,fin-05,fin-02,fin-01,fin-10
field_index_domain,contract_law,0.7500,1.0000,leg-01,leg-04,leg-08,leg-10
field_index_domain,deployment_troubleshoot,0.2500,1.0000,ops-01,ops-06,ops-03,ops-09
field_index_domain,crypto_regulation,0.5000,1.0000,fin-10,fin-06,fin-02,fin-04
field_index_domain,ip_law,0.7500,1.0000,leg-10,leg-03,leg-06,leg-01
